id,login,contributions,site_admin,type
1396,anaisbetts,957,False,User
12869442,kenbailey,29,False,User
1306085,willdean,15,False,User
869,peters,15,False,User
42661,patroza,14,False,User
1246444,GeertvanHorrik,13,False,User
118951,damieng,13,False,User
1351912,BarryThePenguin,9,False,User
131904,robmen,9,False,User
251037,christianrondeau,8,False,User
5191943,bitdisaster,8,False,User
1756617,kevfromireland,8,False,User
214820,mwcampbell,7,False,User
4623209,shoelzer,7,False,User
964691,flagbug,6,False,User
3011761,humbertoc26,6,False,User
16026608,gojanpaolo,5,False,User
1360521,JohnThomson,5,False,User
909449,NeilSorensen,5,False,User
1263856,ricardopolo,5,False,User
359239,shiftkey,5,True,User
2527977,Horb,4,False,User
16935455,LennartAJansson,4,False,User
5476273,CBenghi,3,False,User
79405,daviwil,3,False,User
17739158,dennisameling,3,False,User
952248,Keboo,3,False,User
864376,Kristof-Mattei,3,False,User
7475696,lukeskinner,3,False,User
326587,maxbrunsfeld,3,False,User
11074774,Ran-Intendu,3,False,User
19807292,nullif,3,False,User
30146,amweiss,2,False,User
1424146,Andrew-Hanlon,2,False,User
1959061,BillHally,2,False,User
1865957,CharlieHess,2,False,User
169707,kzu,2,False,User
15444756,djpereira,2,False,User
1426799,felixrieseberg,2,False,User
127353,ghuntley,2,False,User
510957,kevinmartin,2,False,User
6085745,rajbos,2,False,User
6634592,MarshallOfSound,2,False,User
1197905,sergey-tihon,2,False,User
2253814,stajs,2,False,User
6344512,theofanis,2,False,User
157040,PapaMufflon,2,False,User
350686,develar,2,False,User
606066,skaryshev,2,False,User
944894,Thieum,2,False,User
3215302,dj-al,1,False,User
7998310,fasterthanlime,1,False,User
1934067,szanto90balazs,1,False,User
1063280,bennor,1,False,User
16328918,CDAGaming,1,False,User
1298847,distantcam,1,False,User
235748,cbenard,1,False,User
294347,bddckr,1,False,User
9933960,CodeFunta,1,False,User
145043,dsplaisted,1,False,User
234642,Layoric,1,False,User
1827509,PushOrigin,1,False,User
4712072,vidia,1,False,User
1757400,DenisPitcher,1,False,User
228761,don-smith,1,False,User
1684137,duanyao,1,False,User
1859500,relsqui,1,False,User
502747,GeorgeHahn,1,False,User
8601934,judge2020,1,False,User
20179549,Afanyiyu,1,False,User
383634,janpieterz,1,False,User
1523775,johan-lindqvist,1,False,User
80883,justinian,1,False,User
710598,justinvp,1,False,User
582487,khellang,1,False,User
11618547,provkristian,1,False,User
341043,radiy,1,False,User
1128822,madstt,1,False,User
2837021,mbutters,1,False,User
50427,ogborstad,1,False,User
165343,PHeonix25,1,False,User
38609,plinehan,1,False,User
237891,pfeigl,1,False,User
5943908,Razzeee,1,False,User
195475,Ribeiro,1,False,User
696981,robertohuertasm,1,False,User
18479776,runehalfdan,1,False,User
2523492,rynz,1,False,User
9310113,rschoenbach,1,False,User
110883,bontibon,1,False,User
1189399,taspeotis,1,False,User
428788,thughes,1,False,User
1041301,tygor,1,False,User
9832633,mhglaptop,1,False,User
13139220,allanrsmith,1,False,User
155996,etmarcov,1,False,User
446533,ghiboz,1,False,User
20629911,hs-hub-world,1,False,User
592624,ionoy,1,False,User
7333278,iouri-s,1,False,User
16415180,jeuxjeux20,1,False,User
2399369,kysel,1,False,User
13622683,naishx,1,False,User
5307773,wolkesson,1,False,User
8027453,yunfandev,1,False,User
1035667,oaeide,1,False,User
