tree_hash,commith_hash,changed,insert,delete

aca636fb6afe7da3d43fc5202e68efcc2f8892f8,1f846568c90c1fb30de3c89efac525118c8cb9c5, 
9147e4249e0a9e534311e9ba12c0b18d493435fb,1a9bdb652e93b86e0a815a422d1d8bd054bab491,   6 files changed, 28 insertions(+), 10 deletions(-) 
b15da5168c22256a6e953580661d7cecb58392bf,ecc8c39de0b38fa57ffb92171045571912d9f926, 
b15da5168c22256a6e953580661d7cecb58392bf,6aeee25ef62919d0a7eed78783df179afb1b63db,   4 files changed, 4 insertions(+), 4 deletions(-) 
4168ed6255132bf0bd0e9de956839d550f4d161a,019c38e4a7cb8be7493b6c6d9fe8950e3c9ef4f7,   1 file changed, 2 insertions(+), 2 deletions(-) 
7e04a25687c8dda347c5881fb58df9154421a226,ce008b4f661f7921aadf5c67f19c89d957d1ac36,   2 files changed, 3 insertions(+), 3 deletions(-) 
916c2baf642bf173ec056d8865efb4fda82c570c,04d3d677dc60d6e26551cdcdf161e19309839db9,   1 file changed, 5 insertions(+), 3 deletions(-) 
0f2ecb417fda2d23dc181fb15b60b134e84cc54c,9ed82e6e851b926df5b8b3531af771a36f1d61b8, 
49240c1b679b0fd5bfaa2aa6f079506029f53646,3fad3c7df9cab58748ad39940519fb579ae08567,   1 file changed, 17 insertions(+), 13 deletions(-) 
fcf680ca0a1636527e936227a6cf74f6156166a0,5b7cc01b6461a14e2b504e89c31f19101ab16be0,   2 files changed, 2 insertions(+) 
6d320860941969c555f74647a0e20e9b88836501,bd78a25080f959281b6a7361987bf528efe4ab96, 
896257b3b781066c32d4f69e3bd143e480bb5783,178b9a75596420e8e173f05fb9dca765008ae8a6,   4 files changed, 83 insertions(+), 51 deletions(-) 
93cbacf6d2d6d206d9063ca827fe3041ab2831be,fe302539bf427cab1bc0228d25a65bedb84993ea,   9 files changed, 58 insertions(+), 34 deletions(-) 
e12058ebb17c0bc31ea2749633cc14bd56e2176c,c68a6f744d58a530aa2aa4f4cde56dfed211c0f3,   2 files changed, 5 insertions(+), 5 deletions(-) 
5f721ccbb17338aea6989568e12fee7068ef16b0,632e263bc88a5524f418afff5d2f25543bc43714,   2 files changed, 5 insertions(+), 10 deletions(-) 
38cf10f8ab134f2eda98d2286ea9ef46bda6310e,03d0a70e4de7a86804a5cebb0a7c6f79e1613079, 
e62c8c65ec568a71c782f9ba5c2badb602de60d2,95f4b3158216d7f6cedbf506702cc93f34fc69f5, 
36a4508d32d98a94a7b8fd41f150300d8f6c6346,4fe03d0e8f4766bee8fb94f0a9dbac3d0527dd8b, 
36a4508d32d98a94a7b8fd41f150300d8f6c6346,849b97fb0d8f26647ae1262dd59f803df7c9f5e8,   1 file changed, 6 insertions(+), 2 deletions(-) 
84abb857e25e1200cfbe9ab3e59c42b5f4cc72cb,4d7a2d6edec97addd8960f242adb783fb15685a7,   2 files changed, 5 insertions(+), 7 deletions(-) 
d9db2ad6f21122c69b4898e283be3626ec825db2,b315a406e9ae5b7f65464df07e44f1a1a22c0b37, 
abe548664fd4f355aec534cbd3a2e23ab36f90a0,1ef139bdf202d5f1635b229f810d28804f733993,   1 file changed, 2 insertions(+), 2 deletions(-) 
3ad4025056fbb49e307cd2bec791669777973d2c,deb0b7bdd96cb9569f3c8d7ca8ab3e6f6343c57f, 
b74f3196a548fb52fee4cfe144a99e2db528e655,0148f4a9d07696498ff91185506da2a9696735ce,   10 files changed, 159 insertions(+), 38 deletions(-) 
82a30817fb4b71af650475f69ae1d2200b3e100e,6a8d56d9fa6426160fdddb97a0c5d05b6dab2920,   1 file changed, 1 insertion(+), 1 deletion(-) 
428552e0c87d2419287545cce2de47aa95919db5,180838681310ac74721db58c73f57b94112a3f83,   2 files changed, 5 insertions(+), 1 deletion(-) 
e074252572fb75d6b0bf5fefbc072b2fd726e923,3cdbfa7afeb6d9f53607a422d2812d124866ed54,   3 files changed, 11 insertions(+), 6 deletions(-) 
21b8679c22c50c3cb25bb1fef9627c31583336d8,511fe87bd2acc16b83bad3bc40c6cc71ac986c51,   4 files changed, 9 insertions(+) 
51218f738909b0df7ebf829a652d6f5cfe7a60c8,daa28fec653876b486c9e25a228e8e786c7937d0, 
51218f738909b0df7ebf829a652d6f5cfe7a60c8,d5cc1841ea68698845c1bf003fe5b4f0c79c81e6,   2 files changed, 14 insertions(+), 9 deletions(-) 
2149983a060007e189468b359c216a23a298839b,d33ec3269ddf89208f2d8e4c305542178becc32a,   2 files changed, 15 insertions(+) 
67ebca37256b207ae454989565b30b5b64305684,65d3ae991901de0a6eb5eef366abeae04f00b796,   1 file changed, 0 insertions(+), 0 deletions(-) 
c1f8a84fb045b3d8df659b821878c2c93143c45c,93d605d439de1ba986b43c1bc2ccdb881f106a89,   4 files changed, 33 insertions(+), 24 deletions(-) 
1bd9d7dc1283b3470879e6eb535b198cc6e76daa,5a36336547eb62b510fd1c2921b86bd723127402, 
1bd9d7dc1283b3470879e6eb535b198cc6e76daa,182f7c33c3b1cb23ca831b026115e48c9c0ecfce,   3 files changed, 9 insertions(+), 9 deletions(-) 
454b28c764e29e45f355f0d828fd0e841100e3e7,4c3cc400640465ba48ce179d6b8ba3026b5733e4,   2 files changed, 14 insertions(+), 2 deletions(-) 
