tree_hash,commith_hash,changed,insert,delete

e70cd8ab84f9ba297fab92410c710bed47c69880,87d40042e5599975cfac9931b981a92d13060c09,   1 file changed, 36 insertions(+), 10 deletions(-) 
e3d5b14c43530c0d4c23fc855f5bf30467a2a603,8f358c6d4bc6e31b7289af7657ca0eed59e04de3,   52 files changed, 1856 insertions(+), 303 deletions(-) 
957b400550cc276fb9d04cacc713a975afdc2bbe,90227c70b2a6355622ffd9a584a210736aa97d84,   3 files changed, 7 insertions(+), 3 deletions(-) 
88c618970a8d3401c32ba49adff7e24821926463,f5d65b636883815e4c5381f88592e6b25995b895,   1 file changed, 1 insertion(+) 
e984051d2bf873b5bed189abbd83ed1c9c4fa7cf,79ef48957d5a7747003543eb41d223cfe469d6f8,   1 file changed, 9 insertions(+), 9 deletions(-) 
1dbec288cd2f105e7d4b193bc8a75785df5f7caf,bb54cd40091b0ea10e726de5423e8aff1361822b,   1 file changed, 1 insertion(+), 1 deletion(-) 
78babe6077f3e90ca65ffe1ab9a7b8442195dff0,7db097f0f99eb50260ae7cce8e035191ca176108,   1 file changed, 1 deletion(-) 
f87cb23eed96c0eb069773d4cf1f1e7bf229af34,1e236d3224cd551e2867579a643fa63c7c95483b,   4 files changed, 59 insertions(+), 59 deletions(-) 
c6ebaf47b554ce507732e9a87eae5707422dc4a9,4529a7273d0fa20104025d5b1b7bfd61245b3932,   2 files changed, 2 insertions(+) 
69c803ca4796ade3fef82d5b4aa7924713c4e8f5,e8be679e3663257a27f4572d8d8d33940d415283,   8 files changed, 96 insertions(+), 57 deletions(-) 
c42a6ddc76fb8b8605854b1e70c33d406362400c,2833dadc15bec56f816a887c4df2607d6ef7ef7b,   2 files changed, 193 insertions(+), 279 deletions(-) 
312c3ba042fc22d82b360d102c4898abbb1b9cf8,23d522c35a8f5e22de11ff3a3587784cc5d27c2d,   2 files changed, 13 insertions(+) 
30246a68aeb160081a82c3dd7c2980f7b28c5a99,1e9c5f595550fa0354335dd8dc8d583003d5c61a,   76 files changed, 204 insertions(+), 193 deletions(-) 
b3f1b0f982f2d2c2b7f30dda2d5eedf7f3dbc1c3,c46f5e4f555a822cd511c32fcee2f248d29a257d,   8 files changed, 7548 insertions(+), 11025 deletions(-) 
f72cc0176a1597fc2ec41104a33ff6b8a97efcff,95838710a689511842ab8abce3171626ae24e57f,   147 files changed, 1423 insertions(+), 998 deletions(-) 
58b46885d703574efb6eb6166f186cd336224fe1,8fec54e372c5b4592251966a5e76a9f5a6aa5016,   5 files changed, 4492 insertions(+), 8590 deletions(-) 
28b30ae7de90664d4813b46a8119f9cf807f83ec,caa210a1c3b8dff04fb3ebe7ad797d72a83a0cd4,   1 file changed, 16 insertions(+), 11 deletions(-) 
422dd94f39526b05588b6e881b265fec932afe2b,158d2a6d6536ebe3f61ae483d31c933481075613,   2 files changed, 5 insertions(+), 2 deletions(-) 
bea4acb983b62b87327e1ab799f35a710631c261,41d8010e98a65ec1d61b6de195ff386ff286bfab,   4 files changed, 225 insertions(+), 228 deletions(-) 
366b964298bdcd17da81db5963634e2a43e6d7e5,0b65573845fc6f0ad519c5fffd7f4ecbc296782a,   1 file changed, 1 insertion(+), 1 deletion(-) 
516ecf8695697cdf2275a7b0f0b9279f611f2ad8,656c21bc855ceeeee5fb30a12c99775b28d65df0,   3 files changed, 3 insertions(+), 3 deletions(-) 
ddd8ad7a012bbcafff5f91fcb2e0875d381ebc10,29e5fe512b40af514111c62a4f4820cd3e8b5f38,   5 files changed, 103 insertions(+), 36 deletions(-) 
74c4adb82181c6812bd871ac34bf23c61858e4ab,74dd82ff332bb9d35cfb1f7f2a1d485aa78a2fb6,   1 file changed, 6 insertions(+), 1 deletion(-) 
df56eef6d653f87612f7ffc6a937b0da43cb4d75,7d3134e6398dfb7cdc46d3e221e15300e0d624c3,   2 files changed, 99 insertions(+), 5 deletions(-) 
c36def9ac7f1eeec41c6b0449b49aefbb25f0a85,901496d685fa64deb35448945bfbf698ef3d95b8,   1 file changed, 4 insertions(+), 4 deletions(-) 
960e36c9055d70618c1c407fbb0eee07f04069b0,9332c38e39355f96e6ecdabb52ea43d855c71c86,   2 files changed, 129 insertions(+), 3 deletions(-) 
b0078e7a3315f29f9eecf636b5f57bee7d55cf05,67fc4f2bb98eae027d5388e41bbfe9f55d069a30,   2 files changed, 6 insertions(+), 2 deletions(-) 
ec11b8cf0cc13701186d61a06695767ccdeafd00,c442deaac69c26c75a49a4f6f403272fc64e0207,   1 file changed, 1 insertion(+), 1 deletion(-) 
967c1165187901d07d45ee661791d655ff1251fe,eb7a46dc76f9eded7aa0a479e834771cf6465933,   1 file changed, 2 insertions(+), 2 deletions(-) 
18fc30cfc1445c5f298c483ff7cbd8477ba5fd49,ef0f464f3111d7aa64609b401673efb8560fdcb9,   1 file changed, 9 insertions(+), 17 deletions(-) 
6d28c314b6ed1d63dcbcd5233c7eb4a68ea46242,0906b6df5ddd55bbef791a99f615d6c9d46a8119,   1 file changed, 2 insertions(+), 1 deletion(-) 
91496e90832d6221dde9810fcbad93b7168ff71b,bd9ada5a6f21586ccc1f3a3b122342e681f3db36,   1 file changed, 1 insertion(+) 
98c285009f20f2b5d763d952f6dc4bbb842cfdd8,f59d955896d08a293a0fcc9d868cb21a11336d35,   3 files changed, 4 insertions(+), 67 deletions(-) 
7062497853a69d6922ec4595d94ee9bbba3a0a59,569a760da2dd4c710697bc204d00c10769466ab2,   1 file changed, 8 insertions(+), 8 deletions(-) 
e289b300902b887de6694d6228b079542b771bc4,0cfc5d95f7f4ef30e09feab9777a4ceac7845ec5,   1 file changed, 1 insertion(+), 1 deletion(-) 
837346af767cf39478505736e79f1f67fe1f01d6,4181c09c150ebecb1037d3021e0ffb561f6d459a,   38 files changed, 301 insertions(+), 1119 deletions(-) 
826fd3d5f6676618a5cf0e6e2254b8b685401087,c958dd79d0473658af1397f3ce70996ac74ca50f,   3 files changed, 152 insertions(+), 41 deletions(-) 
