id,login,contributions,site_admin,type
9135,paulp,4196,False,User
65551,retronym,3477,False,User
119636,lrytz,3060,False,User
91083,adriaanm,2943,False,User
795990,odersky,2161,False,User
161079,SethTisue,1187,False,User
369425,som-snytt,1065,False,User
609152,xeno-by,875,False,User
133742,dragos,832,False,User
332812,julienrf,661,False,User
289943,phaller,658,False,User
344610,dwijnand,526,False,User
54262,szeiger,506,False,User
151774,axel22,490,False,User
4217,gkossakowski,474,False,User
29006,jsuereth,443,False,User
274906,lexspoon,428,False,User
13436592,bishabosha,323,False,User
1764610,diesalbla,195,False,User
42493,soc,191,False,User
131183,milessabin,190,False,User
389787,xuwei-k,175,False,User
320966,densh,172,False,User
478012,JamesIry,161,False,User
7505383,NthPortal,156,False,User
428706,VladUreche,153,False,User
22275557,mkeskells,144,False,User
28076058,hrhino,138,False,User
2298644,Ichoran,129,False,User
5122903,joshlemer,109,False,User
1123855,janekdb,98,False,User
687163,heathermiller,91,False,User
19111,kzys,91,False,User
882449,martijnhoekstra,86,False,User
63430,smarter,81,False,User
28623,DRMacIver,80,False,User
184683,eed3si9n,77,False,User
10871,viktorklang,73,False,User
2218841,joroKr21,71,False,User
733438,gourlaysama,68,False,User
292128,hubertp,61,False,User
358615,ashawley,55,False,User
365911,TiarkRompf,55,False,User
4260261,lindydonna,54,False,User
309153,iainmcgin,43,False,User
535934,sjrd,43,False,User
127635,exoego,43,False,User
49301,odd,41,False,User
1107367,marcelocenerine,39,False,User
1923596,Philippus,38,False,User
159416,erikrozendaal,37,False,User
703748,dotta,32,False,User
248257,rklaehn,31,False,User
1516800,dgruntz,31,False,User
4142,huitseeker,30,False,User
4996324,allanrenucci,30,False,User
3708353,Jasper-M,28,False,User
2462974,jvican,28,False,User
6143494,mpociecha,28,False,User
1530049,felixmulder,27,False,User
289960,Blaisorblade,26,False,User
141079,dcsobral,25,False,User
2835001,VladimirNik,22,False,User
470469,rkuhn,21,False,User
447532,khernyo,21,False,User
1841944,paplorinc,20,False,User
1408093,olafurpg,18,False,User
1027886,isaacl,17,False,User
6363453,performantdata,17,False,User
613493,ruippeixotog,16,False,User
2614813,anatoliykmetyuk,15,False,User
501740,hepin1989,14,False,User
1780116,jedesah,14,False,User
488530,kiritsuku,14,False,User
273035,gbasler,13,False,User
2337269,mdedetrich,13,False,User
211820,pedrofurla,12,False,User
128610,rjolly,12,False,User
218045,non,11,False,User
1330451,pavelpavlov,10,False,User
601530,Atry,10,False,User
9868,jrudolph,10,False,User
1334074,kanielc,9,False,User
171663,gmethvin,9,False,User
97326,kmizu,9,False,User
2352078,rorygraves,9,False,User
1584221,Prithvirajbilla,9,False,User
29496873,jxnu-liguobin,9,False,User
9093826,roberthoedicke,9,False,User
765983,biboudis,8,False,User
50057,acruise,8,False,User
24858,dchenbecker,8,False,User
1442921,ackratos,8,False,User
1075547,jxcoder,8,False,User
108633,clhodapp,7,False,User
37483769,dskells,7,False,User
93707,denisrosset,7,False,User
5356517,yui-knk,7,False,User
1685289,OberstK,7,False,User
9450469,dsbos,7,False,User
3969000,m-sp,7,False,User
37715,puffnfresh,7,False,User
458526,ennru,6,False,User
5261677,monkey-mas,6,False,User
2537322,vsalvis,6,False,User
56453,dickwall,6,False,User
566147,wibisono,6,False,User
10242025,xavier-fernandez,6,False,User
977929,ceedubs,5,False,User
1267865,sadhen,5,False,User
202935,japgolly,5,False,User
8582453,EPronovost,5,False,User
218689,havocp,5,False,User
1007012,jodersky,5,False,User
221395,jonathanfrawley,5,False,User
5231884,linasm,5,False,User
11613003,wpopielarski,5,False,User
15997393,nogurenn,5,False,User
450507,neko-kai,5,False,User
3648029,nicolasstucki,5,False,User
24733,alexeyr,4,False,User
1418476,apskii,4,False,User
1369693,edmundnoble,4,False,User
10195800,evverx,4,False,User
232606,jannic,4,False,User
5125598,jiminhsieh,4,False,User
969648,chuvoks,4,False,User
934140,lihaoyi,4,False,User
236528,pocket7878,4,False,User
992952,ScrapCodes,4,False,User
3110877,RadoBuransky,4,False,User
4604933,ShaneDelmore,4,False,User
1321393,lefou,4,False,User
1140323,gzm0,4,False,User
397857,tvierling,4,False,User
433439,TomasMikula,4,False,User
1045515,cahilltr,4,False,User
461170,etaty,4,False,User
15616055,howtonotwin,4,False,User
3930435,asakaev,4,False,User
366132,folone,4,False,User
884074,sh0hei,4,False,User
131856,raboof,4,False,User
2297,blair,3,False,User
636,qerub,3,False,User
3683866,optician,3,False,User
9633,dlwh,3,False,User
1213537,nadezhin,3,False,User
5298184,errikos,3,False,User
61807,ihji,3,False,User
22633385,eltociear,3,False,User
24747,ijuma,3,False,User
19658,seratch,3,False,User
923079,larsrh,3,False,User
591567,markus1189,3,False,User
506752,mpollmeier,3,False,User
486678,mshibuya,3,False,User
1519649,pkukielka,3,False,User
38409626,steven-barnes,3,False,User
3060008,ruhly,3,False,User
2053546,ViniciusMiana,3,False,User
17266051,xavierguihot,3,False,User
13730772,changvvb,3,False,User
17975472,moonchanyong,3,False,User
5355976,psilospore,3,False,User
16933180,Jin-H,3,False,User
12049838,takayahilton,3,False,User
861035,hvesalai,3,False,User
2545083,LPTK,3,False,User
37224673,LucasSantiag,3,False,User
372969,isnotinvain,2,False,User
659479,alexclare,2,False,User
1936635,tIGO,2,False,User
5440389,valencik,2,False,User
9110907,MrRexZ,2,False,User
606963,agourlay,2,False,User
10416727,acdenhartog,2,False,User
6497976,Lacaranian,2,False,User
95460,benhutchison,2,False,User
3601817,bjornregnell,2,False,User
694893,huntc,2,False,User
1469167,dobrist,2,False,User
484190,dhgarrette,2,False,User
91909,danielhopkins,2,False,User
921312,mergeconflict,2,False,User
2992938,DavidGregory084,2,False,User
357683,4e6,2,False,User
9700541,dongjoon-hyun,2,False,User
2658825,eatkins,2,False,User
124249,jozic,2,False,User
29660,aztek,2,False,User
5040047,fsalvi,2,False,User
141252,fthomas,2,False,User
58229,greedy,2,False,User
33031,sellout,2,False,User
921490,MasseGuillaume,2,False,User
1130928,gdickinson,2,False,User
682290,ivmaykov,2,False,User
105833,jroper,2,False,User
65043,jamesward,2,False,User
1640797,JanBessai,2,False,User
241093,joshmarcus,2,False,User
1859417,julien-truffaut,2,False,User
25019163,juliuszsompolski,2,False,User
807154,kamilkloch,2,False,User
3967938,romanowski,2,False,User
731622,leifwickland,2,False,User
848550,lastland,2,False,User
326935,lukaselmer,2,False,User
1701138,magnolia-k,2,False,User
967057,ms-tg,2,False,User
204523,mzuehlke,2,False,User
363009,marconilanna,2,False,User
72742,harrah,2,False,User
422086,2m,2,False,User
11840846,naferx,2,False,User
75975,chaitanyav,2,False,User
836994,nrinaudo,2,False,User
1085297,OlivierBlanvillain,2,False,User
124475,liff,2,False,User
16548258,oscar-stripe,2,False,User
2784791,BarrensZeppelin,2,False,User
9465998,RafalSumislawski,2,False,User
52038,rtyley,2,False,User
164965,greenrd,2,False,User
191250,rssh,2,False,User
12010694,sake92,2,False,User
696611,thefourtheye,2,False,User
52490,srp,2,False,User
1592872,forketyfork,2,False,User
4010735,kun-song,2,False,User
345161,zerosum,2,False,User
4223359,teemulehtinen,2,False,User
902300,u-abramchuk,2,False,User
72137,vy,2,False,User
4254261,YawarRaza7349,2,False,User
807537,advancedxy,2,False,User
2631035,nicky-zs,2,False,User
19372370,chrisokasaki,2,False,User
13608862,counter2015,2,False,User
1016545,dk14,2,False,User
1022675,ghik,2,False,User
7779647,harryhuk,2,False,User
5614616,id-ilych,2,False,User
5778613,rjfwhite,2,False,User
841131,rubyu,2,False,User
870673,taku0,2,False,User
112881,todesking,2,False,User
489039,triggerNZ,2,False,User
76055,yllan,2,False,User
143813,aldenml,2,False,User
106760,cb372,2,False,User
8098452,Psycho7,2,False,User
1084930,DarkDimius,2,False,User
758199,FlashSheridan,2,False,User
583047,kirillkh,2,False,User
328844,mkubala,2,False,User
17232922,2efPer,1,False,User
1256382,acjay,1,False,User
